In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed;Importance
WEL_0;WEL_7;14.6304;1.96;1.96;2.93536;3.98298;0.97536;15;1
WEL_0;WEL_7;14.6304;2.89;4.05524;5.0306;6.07822;0.97536;15;1
WER_0;WER_7;14.6304;2.49;4.29908;5.27444;6.32206;0.975361;15;2
NSR_0;NSR_7;14.6304;2.26;2.51994;3.4953;4.54292;0.975361;15;1
NSR_0;NSR_7;14.6304;3.43;4.61518;5.59054;6.63816;0.975361;15;1
NSR_0;NSR_7;14.6304;4.84;5.6628;6.63816;7.68578;0.975361;15;2
NSL_0;NSL_7;14.6304;5.2;5.90664;6.882;7.92962;0.97536;15;1
WER_0;WER_7;14.6304;6.58;7.44194;8.4173;9.46492;0.975361;15;1
NEL_0;NEL_7;14.3634;6.95;7.36434;8.32189;10.4321;0.957558;15;1
SNL_0;SNL_7;14.6304;6.33;6.39432;7.36968;8.4173;0.97536;15;1
NSR_0;NSR_7;14.6304;6.5;7.75803;8.73339;9.78101;0.975361;15;2
WER_0;WER_7;14.6304;7.41;10.5998;11.5751;12.6227;0.975361;15;1
SWL_0;SWL_7;14.3634;7.77;8.96409;9.92165;12.0319;0.957558;15;1
SNL_0;SNL_7;14.6304;9.64;17.1784;18.1538;19.2014;0.97536;15;1
NSR_0;NSR_7;14.6304;9.59;12.883;13.8583;14.9059;0.975361;15;2
SWL_0;SWL_7;14.3634;9.13;13.8722;14.8297;16.9399;0.957558;15;2
WNL_0;WNL_7;14.3634;9.57;11.2473;12.2049;14.3151;0.957558;15;1
WEL_0;WEL_7;14.6304;11.65;18.323;19.2983;20.3459;0.97536;15;1
NSR_0;NSR_7;14.6304;11.88;18.8829;19.8583;20.9059;0.975361;15;1
WEL_0;WEL_7;14.6304;11.29;15.887;16.8623;17.9099;0.97536;15;1
SNR_0;SNR_7;14.6304;11.47;14.1291;15.1045;16.1521;0.975361;15;1
WER_0;WER_7;14.6304;12.35;12.35;13.3254;14.373;0.975361;15;1
WER_0;WER_7;14.6304;13.03;15.5078;16.4832;17.5308;0.975361;15;2
SNR_0;SNR_7;14.6304;13.59;17.763;18.7384;19.786;0.975361;15;1
EWL_0;EWL_7;14.6304;15.45;15.9646;16.9399;17.9875;0.97536;15;1
ENR_0;ENR_1;2.87267;16.09;16.09;16.2815;18.7384;0.191511;15;1
NEL_0;NEL_7;14.3634;17.62;24.0107;24.9682;27.0784;0.957558;15;1
ESL_0;ESL_7;14.3634;17.93;20.7574;21.715;23.8252;0.957558;15;1
SNL_0;SNL_7;14.6304;18.77;19.6144;20.5898;21.6374;0.97536;15;1
WEL_0;WEL_7;14.6304;21.46;22.9453;23.9206;24.9682;0.97536;15;1
WER_0;WER_7;14.6304;24.76;24.76;25.7354;26.783;0.975361;15;2
EWL_0;EWL_7;14.6304;25;26.0255;27.0008;28.0485;0.97536;15;1
WEL_0;WEL_7;14.6304;25.53;26.1031;27.0784;28.1261;0.97536;15;1
NWR_0;NWR_1;2.87267;27.63;28.6084;28.7999;31.2568;0.191511;15;1
NSR_0;NSR_7;14.6304;27.21;27.5608;28.5361;29.5838;0.975361;15;1
SER_0;SER_1;2.87267;27.56;27.56;27.7515;30.2084;0.191511;15;1
SNL_0;SNL_7;14.6304;27.6;27.6;28.5754;29.623;0.97536;15;1
SNL_0;SNL_7;14.6304;27.8;28.6476;29.623;30.6706;0.97536;15;1
SNR_0;SNR_7;14.6304;28.65;30.0169;30.9922;32.0399;0.975361;15;1
ESL_0;ESL_7;14.3634;30.38;31.539;32.4966;34.6068;0.957558;15;1
NEL_0;NEL_7;14.3634;31.84;33.4762;34.4338;36.544;0.957558;15;1
WER_0;WER_7;14.6304;32.06;34.106;35.0813;36.1289;0.975361;15;1
SNR_0;SNR_7;14.6304;36.27;36.27;37.2454;38.293;0.975361;15;1
NSL_0;NSL_7;14.6304;38.93;38.93;39.9054;40.953;0.97536;15;1
NSR_0;NSR_7;14.6304;39.52;39.52;40.4954;41.543;0.975361;15;1
ESL_0;ESL_7;14.3634;39.46;39.9954;40.953;43.0632;0.957558;15;1
EWR_0;EWR_7;14.6304;40.79;43.8422;44.8175;45.8651;0.975361;15;1
SNR_0;SNR_7;14.6304;40.43;42.063;43.0384;44.086;0.975361;15;2
ENR_0;ENR_1;2.87267;40.39;40.39;40.5815;43.0384;0.191511;15;1
NSL_0;NSL_7;14.6304;41.25;42.0878;43.0632;44.1108;0.97536;15;2
ENR_0;ENR_1;2.87267;43.07;44.8898;45.0813;47.5382;0.191511;15;1
